gen,min_PCE,max_PCE,med_PCE
1,16.561279539850354,12.556877582523168,13.4750470843416
2,16.561279539850354,13.058556306134475,14.438303817876811
3,16.77092742998721,13.235848903304003,14.77372010049963
4,16.846187039752454,14.261419513924906,15.591156240234824
5,17.645229223911624,13.234228599603204,16.163877236146398
6,17.787623959211356,14.191430681781792,16.256840589752038
7,18.661746590995595,14.581394468950982,16.68338970334442
8,18.661746590995595,14.481997837558934,16.992478352467252
9,18.661746590995595,14.51112896852409,17.306808286046454
10,18.661746590995595,14.856858958466944,17.385026254081566
11,18.661746590995595,14.434596376255193,17.42085966079632
12,18.661746590995595,14.602141366838435,17.449371000731205
13,18.661746590995595,15.114760709504619,17.53030270055865
14,18.661746590995595,14.866965186802412,17.53030270055865
15,18.661746590995595,15.409300995554414,17.540763641492475
16,18.661746590995595,14.495488675676889,17.622540955325558
17,18.661746590995595,14.581394468950982,17.622540955325558
18,18.661746590995595,14.628176514788585,17.622540955325558
19,18.661746590995595,14.293273649441165,17.622540955325558
20,18.661746590995595,14.495488675676889,17.622540955325558
21,18.661746590995595,15.858293114291666,17.62513291204732
22,18.661746590995595,14.628176514788585,17.642550462978633
23,18.661746590995595,13.695980243030695,17.642550462978633
24,18.661746590995595,14.581394468950982,17.645229223911624
25,18.661746590995595,14.790519851279306,17.645229223911624
26,18.790373572669427,14.628176514788585,17.6620058924058
27,18.790373572669427,15.904199769092976,17.681294610396385
28,18.790373572669427,15.39801599552413,17.6976374875806
29,18.790373572669427,15.114760709504619,17.6976374875806
30,18.790373572669427,14.628176514788585,17.6976374875806
31,18.790373572669427,14.72356650315017,17.71398505000891
32,18.790373572669427,14.902864334237893,17.71398505000891
33,18.790373572669427,15.114760709504619,17.71398505000891
34,18.790373572669427,16.425556783480005,17.71398505000891
35,18.790373572669427,15.780369961978678,17.762160551961234
36,18.790373572669427,14.590451389749994,17.787623959211356
37,18.790373572669427,15.678083981357975,17.809686810278905
38,18.970386231431693,15.114760709504619,17.831325380962532
39,18.970386231431693,15.780369961978678,17.86692408819708
40,18.970386231431693,15.114760709504619,17.86692408819708
41,18.970386231431693,14.938486142296494,17.92064094447776
42,18.970386231431693,15.631599492016935,17.944665532704185
43,18.970386231431693,14.940762869933234,17.944665532704185
44,18.970386231431693,14.940762869933234,17.944665532704185
45,18.970386231431693,16.017964424214558,17.944665532704185
46,18.970386231431693,14.700735455548813,17.944665532704185
47,18.970386231431693,14.940762869933234,17.944665532704185
48,18.970386231431693,15.782561526367957,17.944665532704185
49,18.970386231431693,15.853376051852853,17.960815973985657
50,18.970386231431693,15.741247312283415,17.960815973985657
51,18.970386231431693,14.488090090998243,17.960815973985657
52,18.970386231431693,15.588717890695463,17.98169108073562
53,18.970386231431693,15.858293114291666,18.033503938754986
54,18.970386231431693,14.839258434679007,18.033503938754986
55,18.970386231431693,15.78001481510825,18.033503938754986
56,18.970386231431693,15.994602531977986,18.033503938754986
57,18.970386231431693,14.700735455548813,18.033503938754986
58,18.970386231431693,15.114760709504619,18.033503938754986
59,18.970386231431693,15.671624448245236,18.033503938754986
60,18.970386231431693,15.142435504077927,18.033503938754986
61,18.970386231431693,15.780369961978678,18.033503938754986
62,18.970386231431693,14.700735455548813,18.033503938754986
63,18.970386231431693,15.780369961978678,18.033503938754986
64,18.970386231431693,15.114760709504619,18.033503938754986
65,18.970386231431693,15.114760709504619,18.033503938754986
66,18.970386231431693,15.994602531977986,18.033503938754986
67,18.970386231431693,14.724787712809942,18.033503938754986
68,18.970386231431693,15.072487214119738,18.033503938754986
69,18.970386231431693,15.114760709504619,18.033503938754986
70,18.970386231431693,14.700735455548813,18.060324101554677
71,18.970386231431693,15.780369961978678,18.070307378110343
72,18.970386231431693,14.912747776748837,18.070307378110343
73,18.970386231431693,15.114760709504619,18.070307378110343
74,18.970386231431693,14.700735455548813,18.132190611465667
75,18.970386231431693,15.114760709504619,18.132190611465667
76,18.970386231431693,14.933971021533141,18.132190611465667
77,18.970386231431693,15.820766699612818,18.148040698884834
78,18.970386231431693,15.114760709504619,18.148040698884834
79,18.970386231431693,16.090611990829274,18.148040698884834
80,18.970386231431693,15.114760709504619,18.190712343359486
81,18.970386231431693,16.04558133168094,18.190712343359486
82,18.970386231431693,15.819025566199784,18.190712343359486
83,18.970386231431693,15.114760709504619,18.190712343359486
84,18.970386231431693,15.700756739927371,18.190712343359486
85,18.970386231431693,15.07595115925498,18.190712343359486
86,18.970386231431693,15.882135023158284,18.190712343359486
87,18.970386231431693,15.114760709504619,18.190712343359486
88,18.970386231431693,16.205773951595106,18.190712343359486
89,18.970386231431693,15.701461115373466,18.190712343359486
90,18.970386231431693,15.114760709504619,18.190712343359486
91,18.970386231431693,15.619565218348892,18.190712343359486
92,18.970386231431693,15.114760709504619,18.190712343359486
93,18.970386231431693,15.782561526367957,18.190712343359486
94,18.970386231431693,15.114760709504619,18.190712343359486
95,18.970386231431693,15.642458477072765,18.190712343359486
96,18.970386231431693,16.379452738346874,18.190712343359486
97,18.970386231431693,15.671624448245236,18.190712343359486
98,18.970386231431693,16.17854380773878,18.190712343359486
99,18.970386231431693,15.114760709504619,18.190712343359486
100,18.970386231431693,15.307059302885547,18.190712343359486
