Alternating,PCE,,Block,PCE,,Difference in PCE (block - alternating)
100_99_101010,20.766998,,100_99_111101,21.11091,,0.343912
260_99_101010,19.458058,,260_99_101111,21.016735,,1.558677
1050_99_010101,19.740724,,1050_99_111001,20.648055,,0.907331
1050_61_010101,18.489739,,1050_61_110111,19.423178,,0.933439
824_61_010101,18.356242,,824_61_111011,19.192919,,0.836677
959_61_010101,18.246947,,959_61_110011,18.625415,,0.378468
121_61_010101,18.097859,,121_61_110111,19.327829,,1.22997
905_6_010101,17.565356,,905_61_110001,18.191478,,0.626122
121_6_010101,17.486687,,121_61_110111,19.327829,,1.841142
121_99_101010,19.203166,,121_99_110011,20.068594,,0.865428
383_99_101010,18.719869,,383_99_101111,20.945095,,2.225226
824_5_101010,18.456154,,824_5_110011,19.056401,,0.600247
1118_61_101010,18.15928,,1118_61_110111,19.071514,,0.912234
,,,,,,
,,,,,,
,,,,,,
,,,,,Avaerage difference,1.019913308
